epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.942,0.75173,0.48778,0.89496,0.81463,0.82898,0.88051,0.5799,0.88851,0.64078,0.94023,0.000237606,0.000237606,0.000237606
2,173.893,0.79512,0.53843,0.89935,0.78879,0.78587,0.85405,0.55535,0.92678,0.68245,0.94989,0.000467758,0.000467758,0.000467758
3,265.409,0.83483,0.57052,0.91139,0.8156,0.7913,0.85225,0.56024,0.90498,0.68281,0.94421,0.000690057,0.000690057,0.000690057
4,359.366,0.84257,0.6002,0.91995,0.79627,0.8187,0.86514,0.56184,0.9415,0.68294,0.95293,0.000678657,0.000678657,0.000678657
5,458.217,0.8605,0.59659,0.92625,0.79222,0.78776,0.84322,0.54931,0.91911,0.67373,0.94463,0.000666876,0.000666876,0.000666876
6,557.347,0.85917,0.58863,0.92357,0.80012,0.79878,0.85462,0.56062,0.92394,0.66553,0.94348,0.000655095,0.000655095,0.000655095
7,654.654,0.84541,0.58716,0.92278,0.73536,0.79763,0.8356,0.5384,0.95296,0.70519,0.96423,0.000643314,0.000643314,0.000643314
8,760.522,0.85386,0.58754,0.92392,0.79966,0.82829,0.86127,0.55113,0.92542,0.66599,0.94364,0.000631533,0.000631533,0.000631533
9,869.171,0.82883,0.57398,0.91482,0.81619,0.79315,0.84495,0.55214,0.91717,0.67105,0.93945,0.000619752,0.000619752,0.000619752
10,980.384,0.83467,0.56613,0.91405,0.82746,0.77828,0.8446,0.5618,0.93137,0.69042,0.95974,0.000607971,0.000607971,0.000607971
11,1104.86,0.82397,0.56983,0.91464,0.82598,0.78745,0.84985,0.54371,0.90451,0.65821,0.93925,0.00059619,0.00059619,0.00059619
12,1202.37,0.82749,0.55322,0.91551,0.82672,0.8036,0.87154,0.5632,0.89697,0.65259,0.94015,0.000584409,0.000584409,0.000584409
13,1292.34,0.82503,0.55933,0.90523,0.82763,0.79117,0.85753,0.55785,0.92747,0.65779,0.94565,0.000572628,0.000572628,0.000572628
14,1389.51,0.81902,0.54925,0.9116,0.8035,0.80323,0.84485,0.55956,0.91806,0.66271,0.9467,0.000560847,0.000560847,0.000560847
15,1488.33,0.82056,0.54559,0.90882,0.80076,0.82561,0.85834,0.56189,0.90195,0.6515,0.93747,0.000549066,0.000549066,0.000549066
16,1586.58,0.7982,0.53036,0.90483,0.84241,0.78672,0.85185,0.55572,0.92673,0.65655,0.94761,0.000537285,0.000537285,0.000537285
17,1685.57,0.81803,0.54685,0.90775,0.8193,0.78886,0.85332,0.56385,0.9379,0.67702,0.9552,0.000525504,0.000525504,0.000525504
18,1785.11,0.81586,0.55254,0.91277,0.83376,0.81619,0.86914,0.58304,0.92207,0.648,0.94917,0.000513723,0.000513723,0.000513723
19,1884.03,0.80491,0.53214,0.90674,0.81209,0.80027,0.85655,0.57207,0.90785,0.64296,0.9457,0.000501942,0.000501942,0.000501942
20,1983.31,0.79399,0.52812,0.90356,0.82455,0.80099,0.85125,0.57826,0.89857,0.63985,0.94921,0.000490161,0.000490161,0.000490161
21,2082.66,0.7768,0.51562,0.89538,0.81622,0.81966,0.86458,0.56876,0.91197,0.64226,0.93612,0.00047838,0.00047838,0.00047838
22,2182.38,0.78749,0.50835,0.89928,0.84619,0.80862,0.87385,0.57726,0.9041,0.63535,0.9485,0.000466599,0.000466599,0.000466599
23,2281.96,0.79794,0.50975,0.9008,0.82959,0.80459,0.86325,0.58,0.90664,0.63957,0.94987,0.000454818,0.000454818,0.000454818
24,2381.41,0.77113,0.49451,0.89083,0.81941,0.82087,0.86141,0.56654,0.90862,0.64038,0.94756,0.000443037,0.000443037,0.000443037
25,2481.62,0.75999,0.48717,0.8877,0.82969,0.81752,0.86831,0.57897,0.89114,0.63096,0.94074,0.000431256,0.000431256,0.000431256
26,2581.96,0.76272,0.49013,0.88948,0.84753,0.8057,0.87227,0.58472,0.88111,0.65873,0.93476,0.000419475,0.000419475,0.000419475
27,2683.21,0.75059,0.48846,0.88606,0.84224,0.81551,0.86886,0.5772,0.88125,0.61268,0.93429,0.000407694,0.000407694,0.000407694
28,2783.8,0.75487,0.49279,0.88983,0.81567,0.83307,0.86564,0.584,0.8887,0.6216,0.93097,0.000395913,0.000395913,0.000395913
29,2884.47,0.74919,0.48079,0.89788,0.78249,0.84086,0.8658,0.57338,0.90489,0.63619,0.94895,0.000384132,0.000384132,0.000384132
30,2980.93,0.74517,0.48073,0.88156,0.81878,0.79999,0.85949,0.56964,0.90127,0.63847,0.94468,0.000372351,0.000372351,0.000372351
31,3077.87,0.74519,0.47313,0.88501,0.7998,0.82534,0.86981,0.57702,0.90471,0.6169,0.94623,0.00036057,0.00036057,0.00036057
32,3174.45,0.75109,0.47086,0.8851,0.81023,0.8281,0.8611,0.58049,0.8833,0.60681,0.93875,0.000348789,0.000348789,0.000348789
33,3274.79,0.7347,0.46901,0.88109,0.80494,0.81562,0.85506,0.57639,0.90523,0.62481,0.95004,0.000337008,0.000337008,0.000337008
34,3374.64,0.74491,0.46791,0.8857,0.80496,0.83481,0.86765,0.57758,0.89514,0.61113,0.94232,0.000325227,0.000325227,0.000325227
35,3474.3,0.72985,0.46066,0.87801,0.82871,0.81635,0.86913,0.58403,0.89272,0.62082,0.94282,0.000313446,0.000313446,0.000313446
